date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
95,2017-03-06,95,2017-03-06 08:00:00,2017-03-06 12:00:00,R,0.7,-16.88,0.1,-4.07,0.03,15.68,4.53,6.85,5.23,1,5,N,Meridional
96,2017-03-06,96,2017-03-06 16:00:00,2017-03-06 20:00:00,R,0.5,-34.99,0.04,-5.9,0.09,12.21,5.65,7.23,6.08,0.5,5,N,Meridional
97,2017-03-06,97,2017-03-06 20:00:00,2017-03-07,R,0.1,-34.41,0.09,-5.24,0.06,7.51000000000001,3.98,5.65,4.8,0.1,5,N,Meridional
98,2017-03-07,98,2017-03-07,2017-03-07 04:00:00,R,0.2,-33.14,0.07,-5.4,0.02,10.06,4.03,4.8,4.15,0.2,5,N,Meridional
99,2017-03-07,99,2017-03-07 04:00:00,2017-03-07 08:00:00,R,0,-30.54,0.17,-5,0.03,9.46,4.35,4.83,4.55,0,5,N,Meridional
100,2017-03-07,100,2017-03-07 08:00:00,2017-03-07 12:00:00,R,0.2,-40.67,0.2,-6.54,0.05,11.65,4.45,7.08,5,0.2,5,N,Meridional
101,2017-03-07,101,2017-03-07 12:00:00,2017-03-07 16:00:00,R,1.1,-49.02,0.16,-7.53,0.02,11.22,5.78,7.63,7.08,1.2,5,N,Meridional
102,2017-03-07,102,2017-03-07 16:00:00,2017-03-07 20:00:00,R,0,-37.59,0.1,-5.96,0.03,10.09,2.28,7.53,6.63,0.2,5,N,Meridional
103,2017-03-08,103,2017-03-08,2017-03-08 04:00:00,R,0,-36.95,0.27,-5.83,0.05,9.69,-1.53,-0.73,-1.35,0,5,N,Meridional
104,2017-03-08,104,2017-03-08 04:00:00,2017-03-08 08:00:00,R,0.1,-44.86,0.17,-7.37,0.01,14.1,-0.88,2.88,2.03,0.1,5,N,Meridional
105,2017-03-08,105,2017-03-08 08:00:00,2017-03-08 12:00:00,R,1.2,-45.67,0.14,-6.99,0.05,10.25,2.88,4.85,3.73,1.2,5,N,Meridional
