date,ID,Sampling start,Sampling end,Precipitation type,Rainfall [mm],dD,dD stdev,d18O,d18O stdev,d_excess,time,duration,gwt
86,2017-03-04,91,2017-03-04 16:00:00,2017-03-04 20:00:00,R,2.4,-77.46,0.13,-10.75,0.05,8.54000000000001,16,4,South
87,2017-03-04,92,2017-03-04 20:00:00,2017-03-05,R,1.4,-82.3,0.16,-11.51,0.04,9.78,20,4,South
88,2017-03-05,95,2017-03-05 12:00:00,2017-03-05 16:00:00,R,5,-99.58,0.17,-13.72,0.06,10.18,12,4,South
89,2017-03-05,96,2017-03-05 16:00:00,2017-03-05 20:00:00,R,3.6,-89.88,0.2,-12.58,0.06,10.76,16,4,South
90,2017-03-05,94,2017-03-05 04:00:00,2017-03-05 08:00:00,R,1.2,-57.07,0.13,-8.92,0.03,14.29,4,4,South
91,2017-03-05,93,2017-03-05,2017-03-05 04:00:00,R,0,-62.46,0.11,-7.44,0.02,-2.94,0,4,South
92,2017-03-05,97,2017-03-05 20:00:00,2017-03-06,R,1.4,-58.6,0.15,-9.46,0.01,17.08,20,4,South
93,2017-03-06,100,2017-03-06 08:00:00,2017-03-06 12:00:00,R,0.7,-16.88,0.1,-4.07,0.03,15.68,8,4,North
94,2017-03-06,98,2017-03-06,2017-03-06 04:00:00,R,0.8,-37.4,0.18,-6.75,0.03,16.6,0,4,North
95,2017-03-06,99,2017-03-06 04:00:00,2017-03-06 08:00:00,R,2.2,-19.2,0.14,-4.16,0.06,14.08,4,4,North
96,2017-03-06,101,2017-03-06 16:00:00,2017-03-06 20:00:00,R,0.5,-34.99,0.04,-5.9,0.09,12.21,16,4,North
97,2017-03-06,102,2017-03-06 20:00:00,2017-03-07,R,0.1,-34.41,0.09,-5.24,0.06,7.51000000000001,20,4,North
98,2017-03-07,103,2017-03-07,2017-03-07 04:00:00,R,0.2,-33.14,0.07,-5.4,0.02,10.06,0,4,North
99,2017-03-07,104,2017-03-07 04:00:00,2017-03-07 08:00:00,R,0,-30.54,0.17,-5,0.03,9.46,4,4,North
100,2017-03-07,107,2017-03-07 16:00:00,2017-03-07 20:00:00,R,0,-37.59,0.1,-5.96,0.03,10.09,16,4,North
101,2017-03-07,105,2017-03-07 08:00:00,2017-03-07 12:00:00,R,0.2,-40.67,0.2,-6.54,0.05,11.65,8,4,North
102,2017-03-07,106,2017-03-07 12:00:00,2017-03-07 16:00:00,R,1.1,-49.02,0.16,-7.53,0.02,11.22,12,4,North
103,2017-03-08,109,2017-03-08 04:00:00,2017-03-08 08:00:00,R,0.1,-44.86,0.17,-7.37,0.01,14.1,4,4,North
104,2017-03-08,108,2017-03-08,2017-03-08 04:00:00,R,0,-36.95,0.27,-5.83,0.05,9.69,0,4,North
105,2017-03-08,113,2017-03-08 20:00:00,2017-03-09,R,2,-17.42,0.14,-2.92,0.03,5.94,20,4,North
106,2017-03-08,110,2017-03-08 08:00:00,2017-03-08 12:00:00,R,1.2,-45.67,0.14,-6.99,0.05,10.25,8,4,North
107,2017-03-08,111,2017-03-08 12:00:00,2017-03-08 16:00:00,R,1,-33.11,0.09,-5.26,0.03,8.97,12,4,North
108,2017-03-08,112,2017-03-08 16:00:00,2017-03-08 20:00:00,R,2.3,-24.03,0.11,-4.12,0.05,8.93,16,4,North
109,2017-03-09,115,2017-03-09 04:00:00,2017-03-09 16:00:00,R,6.3,-28.56,0.2,-4.37,0.04,6.4,4,12,North
110,2017-03-09,114,2017-03-09,2017-03-09 04:00:00,R,0.8,-25.56,0.1,-3.72,0.04,4.2,0,4,North
111,2017-03-18,116,2017-03-18 04:00:00,2017-03-18 08:00:00,R,2.3,-41,0.33,-5.94,0.13,6.52,2,6,West
112,2017-03-18,117,2017-03-18 08:00:00,2017-03-18 12:00:00,R,0.7,-25.52,0.14,-4.13,0.05,7.52,8,4,West
113,2017-03-18,119,2017-03-18 20:00:00,2017-03-19,R,0.7,-24.13,0.21,-3.24,0.08,1.79,20,4,West
114,2017-03-18,118,2017-03-18 16:00:00,2017-03-18 20:00:00,R,1.4,-26.59,0.24,-3.69,0.03,2.93,16,4,West
115,2017-03-19,121,2017-03-19 04:00:00,2017-03-19 08:00:00,R,0.1,-11.15,0.29,-1.79,0.16,3.17,4,4,West
116,2017-03-19,122,2017-03-19 08:00:00,2017-03-19 12:00:00,R,0.1,-11.3,0.32,-1.85,0.13,3.5,8,4,West
117,2017-03-19,120,2017-03-19,2017-03-19 04:00:00,R,0.3,-10.85,0.33,-1.72,0.15,2.91,0,4,West
118,2017-03-25,123,2017-03-25 04:00:00,2017-03-25 08:00:00,R,0,-16.85,0.24,-3.03,0.05,7.39,4,4,North
119,2017-03-25,124,2017-03-25 12:00:00,2017-03-25 16:00:00,R,0,-30.3,0.36,-4.56,0.01,6.18,12,4,North
120,2017-03-31,125,2017-03-31 16:00:00,2017-04-03 09:00:00,R,1.4,-44.26,0.32,-7.19,0.05,13.26,16,65,South
121,2017-04-15,128,2017-04-15 12:00:00,2017-04-15 16:00:00,R,0.8,-21.77,0.2,-3.24,0.03,4.15,12,4,North West
